id,tweet_date,screen_name,follower
17176,2014-04-29 23:38:38 -0500,gpflaumer,Ten_Inch_Hero
17176,2014-04-29 23:38:38 -0500,gpflaumer,anisax33
17176,2014-04-29 23:38:38 -0500,gpflaumer,BiagioGreco
17176,2014-04-29 23:38:38 -0500,gpflaumer,Quyenxq40
17176,2014-04-29 23:38:38 -0500,gpflaumer,FromTheTopCA
17176,2014-04-29 23:38:38 -0500,gpflaumer,StrayOpinion
17176,2014-04-29 23:38:38 -0500,gpflaumer,CandiceImelda
17176,2014-04-29 23:38:38 -0500,gpflaumer,nakednotfamous
17176,2014-04-29 23:38:38 -0500,gpflaumer,ocean____
17176,2014-04-29 23:38:38 -0500,gpflaumer,jopageri_
17176,2014-04-29 23:38:38 -0500,gpflaumer,Konrad_SYD
17176,2014-04-29 23:38:38 -0500,gpflaumer,sallyWIDGAF
17176,2014-04-29 23:38:38 -0500,gpflaumer,Melainea02
17176,2014-04-29 23:38:38 -0500,gpflaumer,catharinetcvoln
17176,2014-04-29 23:38:38 -0500,gpflaumer,xxPaulinka
17176,2014-04-29 23:38:38 -0500,gpflaumer,mikehennon
17176,2014-04-29 23:38:38 -0500,gpflaumer,ChicagoOle
17176,2014-04-29 23:38:38 -0500,gpflaumer,TeriLynnnnn
17176,2014-04-29 23:38:38 -0500,gpflaumer,xojesenia
17176,2014-04-29 23:38:38 -0500,gpflaumer,MattJ120
17176,2014-04-29 23:38:38 -0500,gpflaumer,applejacks_21
17176,2014-04-29 23:38:38 -0500,gpflaumer,Spybar
17176,2014-04-29 23:38:38 -0500,gpflaumer,BrandenAlexandr
17176,2014-04-29 23:38:38 -0500,gpflaumer,HeffronDriveOST
17176,2014-04-29 23:38:38 -0500,gpflaumer,TheCrazyTRUTH
17176,2014-04-29 23:38:38 -0500,gpflaumer,jennaeileen
17176,2014-04-29 23:38:38 -0500,gpflaumer,ScorpioSeason
17176,2014-04-29 23:38:38 -0500,gpflaumer,ahuspen
17176,2014-04-29 23:38:38 -0500,gpflaumer,CureHomophobia
17176,2014-04-29 23:38:38 -0500,gpflaumer,CTSBANDUK
17176,2014-04-29 23:38:38 -0500,gpflaumer,OMJFacts
17176,2014-04-29 23:38:38 -0500,gpflaumer,Suntimes
17176,2014-04-29 23:38:38 -0500,gpflaumer,gabybabyyy
17176,2014-04-29 23:38:38 -0500,gpflaumer,chipcoffey
17176,2014-04-29 23:38:38 -0500,gpflaumer,Broadway_Broad
17176,2014-04-29 23:38:38 -0500,gpflaumer,WandMagazine
17176,2014-04-29 23:38:38 -0500,gpflaumer,xSelenaCullenx
17176,2014-04-29 23:38:38 -0500,gpflaumer,IvyBean104
17176,2014-04-29 23:38:38 -0500,gpflaumer,EmmaXTC
17176,2014-04-29 23:38:38 -0500,gpflaumer,megroms
17176,2014-04-29 23:38:38 -0500,gpflaumer,1401webdesign
17176,2014-04-29 23:38:38 -0500,gpflaumer,timtowner
17176,2014-04-29 23:38:38 -0500,gpflaumer,mrbrianmorgan
17176,2014-04-29 23:38:38 -0500,gpflaumer,theamorous
17176,2014-04-29 23:38:38 -0500,gpflaumer,JowitaS
17176,2014-04-29 23:38:38 -0500,gpflaumer,gr8inferno
17176,2014-04-29 23:38:38 -0500,gpflaumer,TOMS
17176,2014-04-29 23:38:38 -0500,gpflaumer,alana3134
17176,2014-04-29 23:38:38 -0500,gpflaumer,HabitatPinellas
17176,2014-04-29 23:38:38 -0500,gpflaumer,paulinaohhh
17176,2014-04-29 23:38:38 -0500,gpflaumer,dating4ftamnta
17176,2014-04-29 23:38:38 -0500,gpflaumer,hYaIgE
17176,2014-04-29 23:38:38 -0500,gpflaumer,VedaSDebacke
17176,2014-04-29 23:38:38 -0500,gpflaumer,aderz
17176,2014-04-29 23:38:38 -0500,gpflaumer,agurgzz
17176,2014-04-29 23:38:38 -0500,gpflaumer,Eruptive
17176,2014-04-29 23:38:38 -0500,gpflaumer,VRSantizo
17176,2014-04-29 23:38:38 -0500,gpflaumer,Coleychode
17176,2014-04-29 23:38:38 -0500,gpflaumer,aFunk89
17176,2014-04-29 23:38:38 -0500,gpflaumer,moBrogan
17176,2014-04-29 23:38:38 -0500,gpflaumer,MzCeceIfYaNasty
17176,2014-04-29 23:38:38 -0500,gpflaumer,ambercutting
17176,2014-04-29 23:38:38 -0500,gpflaumer,jurogibre
17176,2014-04-29 23:38:38 -0500,gpflaumer,heymarista
17176,2014-04-29 23:38:38 -0500,gpflaumer,ILpushplay
17176,2014-04-29 23:38:38 -0500,gpflaumer,seanf1906
17176,2014-04-29 23:38:38 -0500,gpflaumer,gabybabyyy
17176,2014-04-29 23:38:38 -0500,gpflaumer,chipcoffey
17176,2014-04-29 23:38:38 -0500,gpflaumer,Broadway_Broad
17176,2014-04-29 23:38:38 -0500,gpflaumer,WandMagazine
17176,2014-04-29 23:38:38 -0500,gpflaumer,xSelenaCullenx
17176,2014-04-29 23:38:38 -0500,gpflaumer,IvyBean104
17176,2014-04-29 23:38:38 -0500,gpflaumer,EmmaXTC
17176,2014-04-29 23:38:38 -0500,gpflaumer,megroms
17176,2014-04-29 23:38:38 -0500,gpflaumer,1401webdesign
17176,2014-04-29 23:38:38 -0500,gpflaumer,timtowner
17176,2014-04-29 23:38:38 -0500,gpflaumer,mrbrianmorgan
17176,2014-04-29 23:38:38 -0500,gpflaumer,theamorous
17176,2014-04-29 23:38:38 -0500,gpflaumer,JowitaS
